HR,HIP,Name,RA_hours,RA_deg,Dec,Mag
5107,66249,79Zet Vir,13.578222222222221,203.67333333333332,-0.5958333333333333,3.37
4910,63090,43Del Vir,12.926722222222221,193.9008333333333,3.3975,3.38
3482,43109,11Eps Hya,8.779611111111112,131.6941666666667,6.4188888888888895,3.38
542,8886,45Eps Cas,1.9065833333333333,28.59875,63.669999999999995,3.38
921,14354,25Rho Per,3.086277777777778,46.29416666666667,38.84027777777778,3.39
8634,112029,42Zet Peg,22.691027777777776,340.36541666666665,10.831388888888888,3.4
4050,50371,,10.284722222222221,154.27083333333331,-61.33222222222223,3.4
1412,20894,78The2Tau,4.477694444444444,67.16541666666667,15.870833333333334,3.4
5649,74395,Zet Lup,15.204749999999999,228.07125,-52.09916666666667,3.41
544,8796,2Alp Tri,1.8846944444444444,28.270416666666666,29.578888888888887,3.41
5190,67464,Nu  Cen,13.825083333333334,207.37625,-41.687777777777775,3.41
429,6867,Gam Phe,1.4727500000000002,22.091250000000002,-43.318333333333335,3.41
5948,78384,Eta Lup,16.002027777777776,240.03041666666664,-38.39694444444444,3.41
7913,102395,Bet Pav,20.749305555555555,311.2395833333333,-66.20305555555557,3.42
6623,86974,86Mu  Her,17.774305555555554,266.6145833333333,27.720555555555553,3.42
7957,102422,3Eta Cep,20.754833333333334,311.3225,61.83888888888889,3.43
7236,93805,16Lam Aql,19.10413888888889,286.56208333333336,-4.8825,3.44
4031,50335,36Zet Leo,10.278166666666667,154.1725,23.41722222222222,3.44
3659,45080,,9.182777777777778,137.74166666666667,-58.966944444444444,3.44
219,3821,24Eta Cas,0.8183333333333334,12.275,57.81583333333333,3.44
7106,92420,10Bet Lyr,18.834666666666667,282.52,33.36277777777778,3.45
334,5364,31Eta Cet,1.1431666666666667,17.1475,-10.182222222222222,3.45
4033,50372,33Lam UMa,10.284944444444445,154.27416666666667,42.91444444444444,3.45
2646,33856,22Sig CMa,7.028638888888889,105.42958333333333,-27.934722222222224,3.47
3117,38827,Chi Car,7.946305555555556,119.19458333333334,-52.98222222222223,3.47
7635,98337,12Gam Sge,19.979277777777774,299.6891666666666,19.492222222222225,3.47
804,12706,86Gam Cet,2.7216666666666667,40.825,3.2358333333333333,3.47
1239,18724,35Lam Tau,4.011333333333333,60.169999999999995,12.490277777777777,3.47
5681,74666,49Del Boo,15.25838888888889,228.87583333333333,33.31472222222222,3.47
4377,55219,54Nu  UMa,11.307972222222222,169.61958333333334,33.094166666666666,3.48
8684,112748,48Mu  Peg,22.833388888888887,342.50083333333333,24.601666666666667,3.48
6406,84345,64Alp1Her,17.24413888888889,258.6620833333334,14.390277777777778,3.48
8675,112623,Eps Gru,22.809250000000002,342.13875,-51.316944444444445,3.49
